_id,bid,comment_num,content,created_at,like_num,repost_num,tool,user_id,weibo_url
4955082686728221,Nn6X2sejH,1,这些核辐射产品，大家千万不要买#核辐射##冷知识##日本核污染水排海正式开始# 科普社长的微博视频 ,2023-10-10,1,0,微博视频号,7873315773,https://m.weibo.cn/detail/4955082686728221
4955051472454666,Nn68Haizo,0,看完小日本花样游泳联想到日本排污，他们的表情有一种要和全世界同归于尽的感觉好恐怖#日本核污染水排海正式开始##日本团体花样游泳队服# ,2023-10-09,0,0,Android,5226309684,https://m.weibo.cn/detail/4955051472454666
4954889606663059,Nn1VCrXmH,0,旅日的大熊猫香香回来了，我们国宝可不能在日本待着了……#日本核污染水排海正式开始# 第二轮已经五天了,2023-10-09,0,0,Redmi K60,1793184404,https://m.weibo.cn/detail/4954889606663059
4954858107704377,Nn16Owkg9,0,#日本核污染水排海正式开始# 政治课上，老师：部分日本人认为排污染水并不是不道德的行为，因为他们本来就没有道德，所以才会认为这是不道德的事情。 本人内心OS：老师会说就多说点 渐入佳境，调整作息，提高效率 ,2023-10-09,0,0,HUAWEI P60,7735462485,https://m.weibo.cn/detail/4954858107704377
4954845359375378,Nn0MfDkXM,0,#日本核污染水排海正式开始# 小日子排核污水的第46天 ,2023-10-09,1,0,nova11系列敢拍敢出色,5867920288,https://m.weibo.cn/detail/4954845359375378
4954718352705772,NmXtpblTu,2,#日本将启动第二轮核污水排海##日本核污染水排海正式开始# 日本丧尽天良日本，这个行为人神共愤，这么好的生活，大家都为健康天天行公园做运动，现在好了一下子放毒大海，以后世世代代都会受影响，不管上不上热搜，大家要永远记住日本今天所做的恶行，抵制日本，人人有责大家都从自己做起 ...全文,2023-10-08,6,1,OPPO Reno4 Pro 5G,1208361213,https://m.weibo.cn/detail/4954718352705772
4954678650214414,NmWrn0TMi,0,#肥牛卷的plog##日本核污染水排海正式开始##日本开始准备核污染水第二轮排海# 有没有被核污水污染我都吃了 ,2023-10-08,1,0,iPhone客户端,2482210885,https://m.weibo.cn/detail/4954678650214414
4954665193311007,NmW5FdTll,64,俄发布震惊声明！称日本地震不是自然现象而是人为，而是利用核污染水排海做幌子，秘密测试比原子弹威力大1000倍，具有毁灭性能力的“三相弹”！#核武器##日本核污染水排海正式开始##战争##新闻##国际新闻##网易新闻##军事新闻##热点##热点关注#军事杂谈 王赟的微博视频 ,2023-10-08,514,72,军事杂谈超话,1276216251,https://m.weibo.cn/detail/4954665193311007
4954652320730410,NmVKU340O,0,#日本核污染水排海正式开始#小日子就是地球毒瘤#日本核污染水排海正式开始##日本正式启动福岛核污染水排海# ,2023-10-08,0,0,vivo S7轻薄自拍旗舰,5659486662,https://m.weibo.cn/detail/4954652320730410
4954611973097251,NmUHPcZJF,9,节目太精彩了，为同学们的奇思妙想点赞#日本核污染水排海正式开始#@学生曾颖 快来哽咽,2023-10-08,28,6,,1108613250,https://m.weibo.cn/detail/4954611973097251
